gene	WT_0.5mM	WT_10mM	arp6_0.5mM	arp6_10mM	cluster_6_pearson	cluster_6_pearson_color
AT1G08100	-0.2810286775940344	-0.9197107694885592	1.5694858495262232	-0.36874640244362916	1	#8DD3C7
AT2G38540	-0.849711154725701	-0.0340776563354291	-0.6114624175386781	1.4952512285998096	2	#FFFFB3
AT4G01390	1.1071964346157646	-0.9609885208786295	0.7783132129994057	-0.9245211267365403	3	#BEBADA
AT4G32950	0.010515516461357852	-1.1182804756213953	1.4732061368658615	-0.3654411777058244	1	#8DD3C7
AT4G25100	-0.7261265489333766	-0.31418198570331873	-0.50376861664608	1.5440771512827751	2	#FFFFB3
AT5G60770	0.23959361845499705	-0.9916339402089785	1.384177376707871	-0.6321370549538895	1	#8DD3C7
AT3G45140	-0.6512783629174487	-0.07099983952995041	-0.49251375670645714	1.2147919591538563	2	#FFFFB3
AT3G54590	-0.2305194447599157	-0.9622589602152813	1.5472363240323281	-0.35445791905713114	1	#8DD3C7
AT5G25610	-0.6949179779572173	0.18115627033951148	-0.8543262313874433	1.3680879390051492	2	#FFFFB3
AT3G01190	0.5524782965401562	-0.7154484571335512	1.1991141025577752	-1.03614394196438	1	#8DD3C7
AT1G75750	-0.4020776805021101	1.4022386258084159	-1.182375700871714	0.18221475556540848	4	#FB8072
AT5G14650	-0.6248288694521099	-0.13881690234435265	-0.8150643747534552	1.578710146549917	2	#FFFFB3
AT3G46280	0.880101168336224	-0.3717704854076321	0.6012793264541832	-1.1096100093827743	3	#BEBADA
AT5G64040	-0.5966763869749324	0.3272758558441767	-0.992621914070059	1.2620224452008155	4	#FB8072
AT1G20340	-0.8638029075102166	0.4140530702694357	-0.8316973772604093	1.2814472145011915	2	#FFFFB3
AT3G08740	-0.8509747911485245	0.10986381241993093	-0.7160960624621491	1.4572070411907425	2	#FFFFB3
AT3G54210	-0.9469878029913799	0.5962325572112767	-0.8873484486762606	1.2381036944563626	2	#FFFFB3
AT3G54580	-0.01890056151541541	-0.9574573108623311	1.4423687450196925	-0.46601087264194646	1	#8DD3C7
AT5G62720	-0.4654659094667564	0.6944425913215806	-1.2455924576657948	1.016615775810972	4	#FB8072
AT5G37990	1.1242672497112425	-0.6785595450518512	0.5825381781825427	-1.0282458828419336	3	#BEBADA
AT1G08380	-0.7117882575505438	0.250704556287338	-0.8423003350962974	1.3033840363595044	2	#FFFFB3
AT2G43610	1.3413133530606218	0.28031610447505517	-0.4491931880496225	-1.1724362694860546	3	#BEBADA
AT3G63160	-0.7447910661079955	1.1378771850778102	-1.042465094042651	0.6493789750728367	4	#FB8072
AT5G63310	-0.6077395161298974	0.6244256719225199	-1.1737023648980642	1.157016209105443	4	#FB8072
AT2G38140	0.6378177211200501	1.1384548054238277	-1.2786132706976554	-0.4976592558462225	5	#80B1D3
AT2G42250	-0.09072590877666023	-0.9228627263743592	1.4938350773274285	-0.48024644217640955	1	#8DD3C7
AT2G33770	1.1998680341469012	-0.49881518076424397	0.4765701062234708	-1.1776229596061285	3	#BEBADA
AT3G48360	0.014393550830514199	1.3947580084048081	-1.2284066442643156	-0.1807449149710072	6	#FDB462
AT1G08090	0.0375982775824354	-1.3167432543833617	1.2805070776136964	-0.0013621008127702866	1	#8DD3C7
